Car Name,Brand,Model,Color,Mileage_KM,Location,Posted Date,Price_EGP
Renault Sandero 2017,Renault,Sandero,Dark red,53000,heliopolis,5/23/2025,412234
Renault Logan 2018,Renault,Logan,Dark blue,126000,maadi,5/23/2025,159976
Renault Megane 2005,Renault,Megane,Silver,265000,giza,5/23/2025,236883
Renault Sandero 2020,Renault,Sandero,Brown,72000,nasr city,5/23/2025,428849
Renault Duster 2019,Renault,Duster,Dark blue,187000,obour city,5/23/2025,360707
Renault Logan 2013,Renault,Logan,Red,160000,pyramids gardens,5/23/2025,192634
Renault Megane 2018,Renault,Megane,Black,166000,6-Oct,5/23/2025,252177
Renault Kadjar 2020,Renault,Kadjar,Other,119000,cairo,5/23/2025,198051
Renault Sandero Step Way 2019,Renault,Sandero Step Way,White,76000,alexandria,5/23/2025,477024
Renault Duster 2015,Renault,Duster,Mocha,100000,cairo,5/23/2025,411959
Renault Megane 2020,Renault,Megane,Bronze,138000,tagamo3 - new cairo,5/23/2025,437553
Renault Sandero Step Way 2018,Renault,Sandero Step Way,Mocha,63000,shobra,5/23/2025,309191
Renault Megane 2019,Renault,Megane,Blue,93000,cairo,5/23/2025,289748
Renault Sandero Step Way 2018,Renault,Sandero Step Way,Dark blue,55000,nasr city,5/22/2025,250735
Renault Sandero Step Way 2021,Renault,Sandero Step Way,Red,65000,nasr city,5/22/2025,187610
Renault Megane 2020,Renault,Megane,Black,133000,mohandessin,5/22/2025,362592
Renault Sandero 2013,Renault,Sandero,Red,110000,cairo,5/22/2025,397976
Renault Sandero Step Way 2016,Renault,Sandero Step Way,Black,168000,nasr city,4/20/2025,285576
Renault Duster 2021,Renault,Duster,Silver,72000,tagamo3 - new cairo,5/22/2025,466034
Renault Clio 2003,Renault,Clio,Dark blue,230000,tanta,5/22/2025,432499
Renault Clio 2001,Renault,Clio,Blue,200000,pyramids gardens,5/22/2025,197179
Renault Megane 2020,Renault,Megane,White,171000,tagamo3 - new cairo,5/22/2025,466584
Renault Fluence 2016,Renault,Fluence,Silver,245000,tagamo3 - new cairo,5/22/2025,392955
Renault Megane 2020,Renault,Megane,Red,102000,6-Oct,5/22/2025,335058
Renault Logan 2012,Renault,Logan,Dark red,210000,asyut,5/22/2025,367504
Renault Fluence 2016,Renault,Fluence,Silver,165000,cairo,5/22/2025,172379
Renault Sandero Step Way 2020,Renault,Sandero Step Way,Silver,22000,cairo,5/22/2025,364812
Renault Duster 2020,Renault,Duster,Silver,151000,sheikh zayed city,5/22/2025,259672
Renault Logan 2016,Renault,Logan,Silver,116000,tanta,5/22/2025,425132
Renault Logan 2016,Renault,Logan,Silver,180000,pyramids gardens,5/21/2025,260049
Renault Sandero Step Way 2016,Renault,Sandero Step Way,Black,94000,nasr city,5/21/2025,183357
Renault Clio 2008,Renault,Clio,Silver,222000,alexandria,5/21/2025,444767
Renault Megane 2021Verified User,Renault,Megane,Blue,90000,nasr city,5/21/2025,481153
Renault Kadjar 2018,Renault,Kadjar,Black,109000,obour city,5/21/2025,324423
Renault Sandero Step Way 2013,Renault,Sandero Step Way,Silver,80000,zefta,5/21/2025,227724
Renault Logan 2020,Renault,Logan,Bronze,120000,tagamo3 - new cairo,5/21/2025,284485
Renault Megane 2020,Renault,Megane,Silver,186000,alexandria,5/21/2025,322171
Renault Kadjar 2019,Renault,Kadjar,Dark blue,130000,sheikh zayed city,5/21/2025,445416
Renault Logan 2016,Renault,Logan,Black,174000,agamy,5/21/2025,197761
Renault Sandero Step Way 2019,Renault,Sandero Step Way,Blue,21000,cairo,5/21/2025,423531
Renault Megane 2023Verified User,Renault,Megane,Dark blue,,obour city,5/21/2025,201702
Renault Symbol 2009,Renault,Symbol,Red,278000,shobra,5/21/2025,422155
Renault Sandero 2014Verified User,Renault,Sandero,Red,135000,heliopolis,3/10/2025,296976
Renault Sandero 2016Verified User,Renault,Sandero,Silver,90000,heliopolis,4/23/2025,222819
Renault Duster 2019Verified User,Renault,Duster,White,93000,heliopolis,4/6/2025,437495
Renault Fluence 2016,Renault,Fluence,Brown,205000,asyut,5/21/2025,241703
Renault Sandero Step Way 2016,Renault,Sandero Step Way,Silver,53000,alexandria,5/21/2025,419811
Renault Duster 2022,Renault,Duster,Silver,30000,maadi,5/20/2025,289747
Renault Logan 2017,Renault,Logan,Silver,162000,alexandria,5/20/2025,154672
Renault Megane 2023,Renault,Megane,Black,7000,6-Oct,5/20/2025,367132
Renault Logan 2018,Renault,Logan,Eggplant,130000,alexandria,5/20/2025,299713
Renault Sandero Step Way 2020,Renault,Sandero Step Way,Dark red,63000,cairo,5/20/2025,274303
Renault Fluence 2015,Renault,Fluence,Bronze,137000,cairo,5/20/2025,326340
Renault Captur 2016,Renault,Captur,Orange,50000,tagamo3 - new cairo,5/20/2025,497575
Renault Sandero Step Way 2023,Renault,Sandero Step Way,Black,28800,cairo,5/20/2025,348678
Renault Megane 2022,Renault,Megane,Black,,cairo,5/20/2025,184711
Renault Logan 2010,Renault,Logan,Petroleum,236000,cairo,5/20/2025,424188
Renault Megane 2022,Renault,Megane,Black,81000,cairo,5/20/2025,238190
Renault Megane 2022,Renault,Megane,Dark blue,75000,cairo,5/20/2025,213178
Renault Fluence 2011,Renault,Fluence,Black,220000,10th of ramadan,5/20/2025,430654
Renault Logan 2021,Renault,Logan,Dark blue,108000,cairo,5/20/2025,378717
Renault Logan 2016,Renault,Logan,Champagne,219000,sheikh zayed city,5/20/2025,404745
Renault Megane 2006,Renault,Megane,Gray,175000,cairo,5/20/2025,410099
Renault Megane 2022,Renault,Megane,Dark grey,61000,dokki,5/20/2025,303431
Renault Logan 2016,Renault,Logan,Dark blue,220000,6-Oct,5/8/2025,347310
Renault Duster 2019,Renault,Duster,Silver,190000,zamalek,5/20/2025,326448
Renault Captur 2016,Renault,Captur,White,198000,giza,5/20/2025,351625
Renault Duster 2020Verified User,Renault,Duster,White,190000,heliopolis,5/19/2025,255800
Renault Logan 2022,Renault,Logan,Silver,63000,hadayek october,5/19/2025,458430
Renault Logan 2013,Renault,Logan,Black,300000,6-Oct,5/19/2025,204206
Renault Duster 2020,Renault,Duster,Blue,165000,banha,5/19/2025,436453
Renault Megane 2020,Renault,Megane,White,155000,tagamo3 - new cairo,5/19/2025,338626
Renault Logan 2012,Renault,Logan,Red,182515,6-Oct,5/19/2025,415693
Renault Fluence 2015,Renault,Fluence,Silver,163000,heliopolis,5/19/2025,406726
Renault Duster 2018,Renault,Duster,Other,160000,port said,5/19/2025,153898
Renault Logan 2011,Renault,Logan,Dark grey,260000,abu qir,5/19/2025,322461
Renault Clio 2005,Renault,Clio,Silver,244000,obour city,4/22/2025,311866
Renault Taliant 2024,Renault,Taliant,Black,20000,tagamo3 - new cairo,5/19/2025,245914
Renault Sandero Step Way 2022,Renault,Sandero Step Way,Brown,24000,cairo,5/19/2025,268834
Renault Duster 2015,Renault,Duster,Green,178500,nasr city,5/19/2025,342714
Renault Sandero Step Way 2013,Renault,Sandero Step Way,Silver,85000,sheikh zayed city,4/22/2025,357142
Renault Sandero 2014,Renault,Sandero,Gray,131000,cairo,5/19/2025,227332
Renault Captur 2017,Renault,Captur,Blue,110000,banha,5/19/2025,232743
Renault Fluence 2017,Renault,Fluence,Silver,330000,madinaty,5/19/2025,154977
Renault Fluence 2016,Renault,Fluence,Mocha,193000,el minya,5/19/2025,319781
Renault Kadjar 2021,Renault,Kadjar,White,48000,gharbia,5/19/2025,356830
Renault Sandero Step Way 2016Verified User,Renault,Sandero Step Way,Silver,320000,6-Oct,5/19/2025,232313
Renault Sandero 2014,Renault,Sandero,Black,66000,maadi,5/19/2025,243885
Renault Sandero 2015,Renault,Sandero,Red,176322,saft el laban,5/19/2025,248486
Renault Captur 2017,Renault,Captur,Blue,108000,pyramids gardens,5/18/2025,306526
Renault Duster 2019,Renault,Duster,Gray,99000,kafr el-sheikh,5/18/2025,338140
Renault Logan 2016,Renault,Logan,Silver,170000,tagamo3 - new cairo,5/18/2025,455885
Renault Sandero 2021,Renault,Sandero,Dark blue,77000,6-Oct,5/18/2025,167860
Renault Megane 2020,Renault,Megane,Bronze,103000,alexandria,5/18/2025,489769
Renault Megane 2021,Renault,Megane,Dark red,100000,cairo,5/3/2025,352787
Renault Megane 2020,Renault,Megane,Dark blue,212000,tagamo3 - new cairo,5/18/2025,421089
Renault Logan 2016,Renault,Logan,Silver,160000,sheraton,5/18/2025,470786
Renault Logan 2016,Renault,Logan,Blue,170000,shobra,5/18/2025,236470
Renault Logan 2016,Renault,Logan,Silver,260000,cairo,5/18/2025,219443
Renault Kadjar 2018,Renault,Kadjar,Dark blue,128000,nasr city,5/18/2025,185666
Renault Duster 2019,Renault,Duster,Blue,170000,6-Oct,5/18/2025,207330
Renault Megane 1999,Renault,Megane,Red,255556,shobra,5/18/2025,182878
Renault Logan 2010,Renault,Logan,Petroleum,190000,el haram,5/18/2025,256064
Renault Kadjar 2019,Renault,Kadjar,Bronze,120000,giza,5/18/2025,210374
Renault Sandero 2015,Renault,Sandero,Gold,157000,madinaty,5/18/2025,307996
Renault Kadjar 2018,Renault,Kadjar,Bronze,92000,cairo,5/18/2025,483783
Renault Megane 2022,Renault,Megane,Blue,77000,heliopolis,5/18/2025,265455
Renault Megane 2003,Renault,Megane,Silver,270000,maadi,5/18/2025,151084
Renault Megane 2020,Renault,Megane,White,150000,helwan,5/17/2025,163423
Renault Clio 2003,Renault,Clio,White,290000,el katameya,5/7/2025,467536
Renault Duster 2017,Renault,Duster,Dark blue,101000,nasr city,5/17/2025,180012
Renault Logan 2016,Renault,Logan,Black,285000,obour city,5/17/2025,410725
Renault Clio 2003,Renault,Clio,Black,260000,6-Oct,5/17/2025,324802
Renault Sandero 2018,Renault,Sandero,Silver,104000,giza,5/17/2025,265465
Renault Logan 2019,Renault,Logan,Black,60000,alexandria,5/17/2025,188263
Renault 9 1990,Renault,9,Dark red,300000,mokattam,5/17/2025,418784
Renault Logan 2019,Renault,Logan,Black,95000,nasr city,5/17/2025,251809
Renault Kadjar 2019,Renault,Kadjar,Petroleum,125000,tagamo3 - new cairo,5/17/2025,379978
Renault Duster 2021,Renault,Duster,Blue,187000,al shorouk,5/17/2025,466408
Renault Sandero Step Way 2016,Renault,Sandero Step Way,Black,183000,alexandria,5/17/2025,394938
Renault Sandero 2014,Renault,Sandero,Red,135000,sheikh zayed city,5/2/2025,185320
Renault Megane 2005,Renault,Megane,Black,215000,cairo,5/16/2025,368504
Renault Sandero Step Way 2017,Renault,Sandero Step Way,Black,194000,al shorouk,5/16/2025,447565
Renault Captur 2017,Renault,Captur,Black,98000,nasr city,5/16/2025,205918
Renault Duster 2018,Renault,Duster,Gray,107000,6-Oct,5/16/2025,243929
Renault Megane 2018,Renault,Megane,Silver,29000,cairo,5/16/2025,249039
Renault Logan 2010,Renault,Logan,Red,212000,cairo,5/16/2025,252602
Renault Megane 2006,Renault,Megane,Gray,230000,sharqia,5/16/2025,352672
Renault Logan 2010,Renault,Logan,Silver,185000,giza,5/16/2025,172559
Renault Megane 2006,Renault,Megane,Blue,200000,heliopolis,5/16/2025,223789
Renault Megane 2015Verified User,Renault,Megane,Silver,330000,sheikh zayed city,5/16/2025,331338
Renault Megane 2017Verified User,Renault,Megane,Silver,230000,maadi,5/16/2025,318379
Renault Sandero Step Way 2018,Renault,Sandero Step Way,Dark grey,56000,nasr city,4/22/2025,270191
Renault Sandero Step Way 2015,Renault,Sandero Step Way,Red,248000,obour city,5/8/2025,371378
Renault Captur 2019,Renault,Captur,Orange,35000,nasr city,5/16/2025,154824
Renault Logan 2015,Renault,Logan,Silver,92000,6-Oct,5/15/2025,172076
Renault Megane 2022,Renault,Megane,Silver,107000,cairo,5/15/2025,162700
Renault Logan 2016,Renault,Logan,Silver,178000,imbaba,5/15/2025,227512
Renault Clio 2007,Renault,Clio,Silver,385000,giza,5/15/2025,307691
Renault Kadjar 2017,Renault,Kadjar,White,150000,aswan,5/15/2025,373246
Renault Duster 2019Verified User,Renault,Duster,Gold,130000,tagamo3 - new cairo,5/15/2025,465927
Renault Logan 2013,Renault,Logan,Petroleum,270000,6-Oct,5/15/2025,151655
Renault Sandero Step Way 2017,Renault,Sandero Step Way,Red,140000,giza,5/15/2025,419401
Renault Logan 2012,Renault,Logan,White,280000,alexandria,5/15/2025,160720
Renault Logan 2013,Renault,Logan,Silver,175000,mohandessin,5/15/2025,163536
Renault Megane 2000,Renault,Megane,Mocha,450000,ain shams,5/14/2025,192759
Renault Logan 2013,Renault,Logan,Dark blue,186000,cairo,5/14/2025,221077
Renault Austral 2025,Renault,Austral,Silver,8500,6-Oct,5/14/2025,195330
Renault Logan 2016,Renault,Logan,Red,185000,obour city,5/14/2025,401698
Renault Logan 2013,Renault,Logan,Dark blue,135000,el manial,5/14/2025,297557
Renault Duster 2018,Renault,Duster,Black,180000,6-Oct,5/14/2025,447632
Renault Fluence 2014,Renault,Fluence,Red,213000,alexandria,5/14/2025,324668
Renault Kadjar 2019,Renault,Kadjar,Mocha,69000,6-Oct,5/14/2025,185804
Renault Megane 2005,Renault,Megane,Black,200000,obour city,5/14/2025,485632
Renault Captur 2016,Renault,Captur,Black,130000,alexandria,5/14/2025,305383
Renault Sandero Step Way 2019,Renault,Sandero Step Way,Blue,198000,alexandria,5/14/2025,447607
Renault Logan 2019,Renault,Logan,Dark blue,45000,al shorouk,5/14/2025,184587
Renault Clio 2003,Renault,Clio,Dark grey,200000,6-Oct,5/14/2025,177911
Renault Logan 2010,Renault,Logan,Other,162000,cairo,5/14/2025,465654
Renault Megane 2015,Renault,Megane,Red,140000,tanta,5/14/2025,237227
Renault Sandero 2015,Renault,Sandero,Dark red,215000,nasr city,5/14/2025,448404
Renault Duster 2017,Renault,Duster,Black,265000,maadi,5/14/2025,434324
Renault Kadjar 2021,Renault,Kadjar,White,90000,suez,5/14/2025,343943
Renault Sandero Step Way 2019,Renault,Sandero Step Way,Gray,760000,tagamo3 - new cairo,5/14/2025,284539
Renault Logan 2016,Renault,Logan,Black,240000,el mahalla,5/13/2025,451489
Renault Sandero Step Way 2019,Renault,Sandero Step Way,Red,138000,giza,5/13/2025,218495
Renault Duster 2017,Renault,Duster,Silver,100500,cairo,5/13/2025,269962
Renault Megane 2020,Renault,Megane,Dark red,160000,al shorouk,5/13/2025,240471
Renault Sandero Step Way 2016,Renault,Sandero Step Way,White,360000,alexandria,5/13/2025,468952
Renault Logan 2017,Renault,Logan,Red,,helwan,5/13/2025,325614
Renault MCV 2011,Renault,MCV,Petroleum,215000,cairo,5/13/2025,237592
Renault Megane 2009Verified User,Renault,Megane,Petroleum,200000,mokattam,5/13/2025,475449
Renault Kadjar 2019,Renault,Kadjar,White,200000,giza,5/13/2025,226855
Renault Logan 2020,Renault,Logan,Blue,260000,cairo,5/13/2025,332343
Renault Megane 2022,Renault,Megane,Red,150000,6-Oct,5/13/2025,393086
Renault Logan 2019,Renault,Logan,Dark blue,200000,cairo,5/13/2025,170019
Renault Clio 2002,Renault,Clio,Other,198000,giza,5/13/2025,499054
Renault Megane 2023,Renault,Megane,White,16000,ismailia,5/13/2025,382291
Renault Duster 2019,Renault,Duster,Gray,45000,maadi,5/13/2025,467402
Renault Sandero 2014,Renault,Sandero,Dark grey,100000,el salam city,5/13/2025,325397
Renault Sandero Step Way 2017,Renault,Sandero Step Way,Black,100000,alexandria,5/13/2025,460449
Renault Sandero Step Way 2016,Renault,Sandero Step Way,Black,182000,maadi,5/13/2025,473821
Renault Duster 2015,Renault,Duster,Silver,180000,tagamo3 - new cairo,5/12/2025,288849
Renault Clio 2008,Renault,Clio,Silver,5000,tagamo3 - new cairo,5/12/2025,479500
Renault Sandero 2015,Renault,Sandero,Red,160000,nasr city,5/12/2025,295043
Renault Logan 2021,Renault,Logan,Brown,80000,gharbia,5/12/2025,227542
Renault Duster 2018,Renault,Duster,Blue,143000,nasr city,5/12/2025,302434
Renault Fluence 2015,Renault,Fluence,Silver,164000,tagamo3 - new cairo,5/12/2025,351253
Renault Lodgy 2017,Renault,Lodgy,Black,,marsa alam,5/12/2025,402060
Renault Sandero Step Way 2016,Renault,Sandero Step Way,Red,136000,cairo,5/12/2025,222472
Renault Logan 2014,Renault,Logan,Black,128000,maadi,4/13/2025,285943
Renault Kadjar 2018,Renault,Kadjar,Dark blue,40000,el minya,5/12/2025,425343
Renault Logan 2016,Renault,Logan,Red,240000,cairo,5/12/2025,371644
Renault Sandero 2012,Renault,Sandero,Black,138000,alexandria,5/12/2025,259152
Renault Fluence 2013,Renault,Fluence,Petroleum,98000,alexandria,5/12/2025,431429
Renault Fluence 2015,Renault,Fluence,Gray,230000,al shorouk,5/12/2025,174178
Renault Sandero Step Way 2015,Renault,Sandero Step Way,Blue,91000,asyut,5/11/2025,222944
Renault Duster 2020,Renault,Duster,Silver,98500,giza,5/11/2025,323577
Renault Logan 2015,Renault,Logan,Gold,117000,mohandessin,5/11/2025,296045
Renault Megane 2017,Renault,Megane,Bronze,115000,alexandria,5/11/2025,457981
Renault Megane 2006,Renault,Megane,Silver,233000,alexandria,5/11/2025,339799
Renault Logan 2010,Renault,Logan,Silver,330000,tagamo3 - new cairo,5/11/2025,303247
Renault Kadjar 2019,Renault,Kadjar,Blue,105000,alexandria,5/11/2025,379862
Renault Sandero Step Way 2016,Renault,Sandero Step Way,Red,95000,nasr city,5/11/2025,297641
Renault Duster 2019,Renault,Duster,Petroleum,150000,tanta,5/11/2025,331298
Renault Logan 2010,Renault,Logan,Silver,250000,6-Oct,5/11/2025,371616
Renault Sandero 2020,Renault,Sandero,Other,150000,gharbia,5/11/2025,197093
Renault Logan 2010,Renault,Logan,Black,270000,hurghada,5/11/2025,346987
Renault Clio 2004,Renault,Clio,Dark grey,350000,kerdasa,5/11/2025,470334
Renault Duster 2018Verified User,Renault,Duster,Silver,130000,cairo,5/11/2025,213892
Renault Fluence 2011,Renault,Fluence,Black,215000,el haram,5/11/2025,189743
Renault Duster 2020,Renault,Duster,Gold,48000,aswan,5/11/2025,346337
Renault Clio 2005,Renault,Clio,Green,147000,cairo,5/11/2025,408517
Renault Logan 2016,Renault,Logan,Silver,165000,bilbeis,5/11/2025,400029
Renault Logan 2019,Renault,Logan,Dark blue,230000,shobra,5/11/2025,280857
Renault Logan 2015,Renault,Logan,Bronze,152000,6-Oct,5/11/2025,352125
Renault Megane 2022,Renault,Megane,Silver,19000,asyut,5/11/2025,224584
Renault Duster 2017,Renault,Duster,Mocha,190000,mansoura,5/10/2025,498408
Renault Scala 2011,Renault,Scala,Bronze,380000,giza,5/10/2025,171852
Renault Logan 2018,Renault,Logan,Black,165000,pyramids gardens,5/10/2025,233285
Renault Fluence 2010,Renault,Fluence,Dark grey,243000,giza,5/10/2025,350614
Renault Logan 2010,Renault,Logan,Petroleum,250000,nasr city,5/10/2025,404406
Renault MCV 2009,Renault,MCV,Dark blue,190000,cairo,5/10/2025,373685
Renault Captur 2017,Renault,Captur,Blue,89000,alexandria,5/10/2025,495399
Renault Captur 2017,Renault,Captur,Red,81000,alexandria,5/10/2025,176095
Renault Duster 2018,Renault,Duster,Silver,65000,faiyum,5/10/2025,178269
Renault Duster 2022,Renault,Duster,Blue,36000,el manial,5/10/2025,187549
Renault Logan 2021,Renault,Logan,Red,58000,maadi,5/10/2025,324951
Renault Megane 2022,Renault,Megane,Silver,34000,alexandria,5/9/2025,363516
Renault Captur 2018,Renault,Captur,Blue,78600,maadi,5/9/2025,343089
Renault Kadjar 2018,Renault,Kadjar,Silver,113000,qalyubia,5/9/2025,458263
Renault Sandero Step Way 2016,Renault,Sandero Step Way,Red,66000,cairo,5/9/2025,442546
Renault Duster 2015,Renault,Duster,Silver,98443,alexandria,5/9/2025,403244
Renault Duster 2020,Renault,Duster,Bronze,56000,cairo,5/9/2025,280284
Renault Fluence 2011Verified User,Renault,Fluence,Gold,145000,alexandria,5/9/2025,322789
Renault Logan 2016,Renault,Logan,Gold,220000,cairo,5/9/2025,207990
Renault Kadjar 2018,Renault,Kadjar,White,139000,tagamo3 - new cairo,5/9/2025,454935
Renault Fluence 2015,Renault,Fluence,Silver,127000,heliopolis,5/9/2025,247283
Renault Megane 2006,Renault,Megane,Green,178000,cairo,5/9/2025,469206
Renault Clio 2008,Renault,Clio,Red,315000,beni suef,5/9/2025,204812
Renault Sandero Step Way 2022,Renault,Sandero Step Way,Gray,57000,giza,5/9/2025,202001
Renault Megane 2020,Renault,Megane,Black,51000,tagamo3 - new cairo,5/9/2025,330183
Renault Megane 2005,Renault,Megane,Silver,144000,alexandria,5/8/2025,195124
Renault Kadjar 2018,Renault,Kadjar,Dark grey,136000,6-Oct,4/28/2025,198719
Renault Duster 2019,Renault,Duster,Gray,160000,alexandria,5/8/2025,222579
Renault Rainbow 2000,Renault,Rainbow,Red,200000,alexandria,5/8/2025,435609
Renault Duster 2019,Renault,Duster,Champagne,157000,heliopolis,5/8/2025,162876
Renault Logan 2015,Renault,Logan,Silver,270000,cairo,5/8/2025,191927
Renault Logan 2016,Renault,Logan,Red,250000,saft el laban,5/8/2025,399225
Renault Megane 2006,Renault,Megane,Black,,obour city,5/8/2025,210399
Renault Sandero 2013,Renault,Sandero,Silver,288000,al shorouk,5/8/2025,295215
Renault Kadjar 2019,Renault,Kadjar,Black,140000,6-Oct,5/8/2025,389845
Renault Fluence 2015,Renault,Fluence,Gold,200000,cairo,5/8/2025,414324
Renault Kadjar 2018,Renault,Kadjar,White,204000,alexandria,4/28/2025,397012
Renault Sandero 2019,Renault,Sandero,Dark blue,79000,tagamo3 - new cairo,5/8/2025,317422
Renault Logan 2010,Renault,Logan,Silver,200000,nasr city,5/8/2025,404027
Renault Sandero Step Way 2014,Renault,Sandero Step Way,Silver,238000,nasr city,5/8/2025,284370
Renault Kadjar 2019,Renault,Kadjar,Silver,180000,tanta,5/8/2025,496192
Renault Duster 2019,Renault,Duster,Petroleum,139000,shibin el qanater,5/8/2025,313346
Renault Sandero Step Way 2016,Renault,Sandero Step Way,Red,107000,sheikh zayed city,5/8/2025,199669
Renault Clio 2004,Renault,Clio,Silver,180000,cairo,5/8/2025,333402
Renault MCV 2013,Renault,MCV,Petroleum,350000,asyut,5/8/2025,177383
Renault Megane 2022,Renault,Megane,Black,37000,el haram,5/8/2025,403172
Renault Logan 2021,Renault,Logan,Red,107000,al shorouk,5/7/2025,203836
Renault Logan 2016,Renault,Logan,Black,240000,alexandria,5/7/2025,329284
Renault Kadjar 2018,Renault,Kadjar,Bronze,75000,tagamo3 - new cairo,5/7/2025,476101
Renault Logan 2013,Renault,Logan,Dark red,157000,alexandria,5/7/2025,301100
Renault Sandero Step Way 2018,Renault,Sandero Step Way,White,97000,al shorouk,5/7/2025,318423
Renault Duster 2019,Renault,Duster,Gray,150000,shobra,5/7/2025,201852
Renault Sandero 2013,Renault,Sandero,Black,195000,cairo,5/7/2025,170792
Renault Duster 2011,Renault,Duster,Black,127000,nasr city,5/7/2025,497640
Renault Duster 2020,Renault,Duster,Petroleum,246000,6-Oct,5/7/2025,341469
Renault Duster 2015,Renault,Duster,Silver,170000,tagamo3 - new cairo,5/7/2025,268568
Renault Logan 2013,Renault,Logan,Black,307000,shobra,5/7/2025,153188
Renault Sandero 2014,Renault,Sandero,Red,101000,cairo,5/7/2025,462291
Renault Captur 2017,Renault,Captur,Red,97000,maadi,5/7/2025,363984
Renault Megane 1999,Renault,Megane,White,180000,el qanater el khayreya,5/7/2025,369252
Renault Logan 2016,Renault,Logan,Silver,163000,sohag,5/6/2025,212275
Renault Sandero 2015,Renault,Sandero,Silver,99000,6-Oct,5/6/2025,306565
Renault Duster 2015,Renault,Duster,Green,119000,alexandria,5/6/2025,369152
Renault Sandero Step Way 2020,Renault,Sandero Step Way,Red,50000,sohag,5/6/2025,403100
Renault Duster 2019,Renault,Duster,Gray,225000,maadi,5/6/2025,364681
Renault Kadjar 2020,Renault,Kadjar,Red,137000,tagamo3 - new cairo,5/6/2025,278819
Renault Sandero 2014,Renault,Sandero,Black,284000,mokattam,5/6/2025,464363
Renault Logan 2018,Renault,Logan,Dark blue,107000,cairo,5/6/2025,233865
Renault Duster 2020,Renault,Duster,Gold,69000,sheikh zayed city,5/6/2025,400729
Renault Megane 2020,Renault,Megane,White,77000,nasr city,5/6/2025,369630
Renault Logan 2021,Renault,Logan,Red,61000,el haram,5/6/2025,487427
Renault Logan 2022,Renault,Logan,White,80000,tagamo3 - new cairo,5/6/2025,443605
Renault Sandero Step Way 2019,Renault,Sandero Step Way,Black,99375,cairo,5/6/2025,413060
Renault Clio 2007,Renault,Clio,Silver,151000,heliopolis,5/5/2025,353097
Renault Clio 2008,Renault,Clio,Gray,108500,sheraton,5/5/2025,495308
Renault Logan 2012,Renault,Logan,Dark red,220000,cairo,5/5/2025,277473
Renault Sandero Step Way 2018,Renault,Sandero Step Way,Dark grey,165000,cairo,5/5/2025,255980
Renault Logan 2016,Renault,Logan,Blue,270000,cairo,5/5/2025,337159
Renault Logan 2020,Renault,Logan,Dark blue,250000,obour city,5/5/2025,303951
Renault Sandero 2014,Renault,Sandero,Silver,300900,cairo,5/5/2025,404610
Renault Sandero Step Way 2021,Renault,Sandero Step Way,Gold,80000,kafr el-sheikh,5/5/2025,241020
Renault Logan 2021,Renault,Logan,Dark grey,65000,alexandria,5/5/2025,469621
Renault Logan 2019,Renault,Logan,Black,150000,alexandria,5/5/2025,152270
Renault Sandero Step Way 2015,Renault,Sandero Step Way,Silver,163000,alexandria,5/5/2025,170806
Renault Sandero Step Way 2016,Renault,Sandero Step Way,Blue,155000,mansoura,5/5/2025,347662
Renault Duster 2016,Renault,Duster,Black,145000,cairo,5/5/2025,204130
Renault Megane 2018,Renault,Megane,Dark blue,175000,cairo,5/4/2025,251951
Renault Logan 2011,Renault,Logan,Petroleum,250000,6-Oct,5/4/2025,265672
Renault Megane 2020,Renault,Megane,Silver,115000,el katameya,5/4/2025,427614
Renault Sandero Step Way 2018,Renault,Sandero Step Way,Dark blue,190000,al shorouk,5/4/2025,494510
Renault Duster 2021,Renault,Duster,Dark blue,143000,tagamo3 - new cairo,5/4/2025,279808
Renault Sandero Step Way 2016,Renault,Sandero Step Way,Dark red,59000,cairo,5/4/2025,329120
Renault Logan 2010,Renault,Logan,Silver,198000,cairo,5/4/2025,440452
Renault Logan 2015,Renault,Logan,Dark red,195000,alexandria,5/4/2025,466971
Renault Sandero 2019,Renault,Sandero,White,62000,tagamo3 - new cairo,5/4/2025,395883
Renault Logan 2017,Renault,Logan,Black,230000,imbaba,5/4/2025,404878
Renault Logan 2014,Renault,Logan,Black,126000,nasr city,5/4/2025,367316
Renault Logan 2016,Renault,Logan,Silver,55000,alexandria,5/4/2025,204101
Renault Megane 2005,Renault,Megane,Black,205000,el haram,5/4/2025,152753
Renault Logan 2020,Renault,Logan,Mocha,207000,6-Oct,5/4/2025,216469
Renault Kadjar 2017,Renault,Kadjar,Bronze,104000,cairo,5/3/2025,246627
Renault Duster 2021,Renault,Duster,Petroleum,110000,alexandria,5/4/2025,191169
Renault Fluence 2014,Renault,Fluence,Black,238000,cairo,5/3/2025,347688
Renault Sandero 2014,Renault,Sandero,Dark red,90000,el manial,5/3/2025,233116
Renault Megane 2022,Renault,Megane,Silver,38000,tagamo3 - new cairo,5/3/2025,354338
Renault Fluence 2017,Renault,Fluence,Other,153000,cairo,5/3/2025,186077
Nissan Qashqai 2019,Nissan,Qashqai,Silver,115000,nasr city,6/2/2025,161952
Nissan Sunny 2016,Nissan,Sunny,Black,172500,cairo,6/2/2025,325131
Nissan Sunny 2013,Nissan,Sunny,Black,242000,nasr city,6/2/2025,344423
Nissan Sunny 2023,Nissan,Sunny,Black,97000,tanta,6/2/2025,458103
Nissan Sunny 2010,Nissan,Sunny,Black,123000,6-Oct,6/2/2025,542221
